appearances_locations_id,appearance_id,location_id
1,1,248
2,4,722
3,7,641
4,9,213
5,16,164
6,20,687
7,25,10
8,29,14
9,30,530
10,38,257
11,42,553
12,43,17
13,44,659
14,56,110
15,57,284
16,63,279
17,64,686
18,65,530
19,71,299
20,72,369
21,73,490
22,75,48
23,79,213
24,81,345
25,82,110
26,94,98
27,95,448
28,96,279
29,98,220
30,105,36
31,107,162
32,108,631
33,113,519
34,117,48
35,118,209
36,119,659
37,123,631
38,126,270
39,128,552
40,129,220
41,133,110
42,135,10
43,137,519
44,138,220
45,142,65
46,145,166
47,147,110
48,149,582
49,150,545
50,151,110
51,153,110
52,155,412
53,158,162
54,162,110
55,164,110
56,170,230
57,176,647
58,177,195
59,178,81
60,183,412
61,185,49
62,198,48
63,202,259
64,203,419
65,205,345
66,206,631
67,209,32
68,210,575
69,217,7
70,218,48
71,219,110
72,220,34
73,223,42
74,224,448
75,225,447
76,229,232
77,231,722
78,232,162
79,233,42
80,234,110
81,236,188
82,240,166
83,242,629
84,247,504
85,251,500
86,252,257
87,256,718
88,258,220
89,261,110
90,262,647
91,266,533
92,268,48
93,269,65
94,270,659
95,273,345
96,274,448
97,276,162
98,277,14
99,278,55
100,280,284
101,285,14
102,288,110
103,294,284
104,295,250
105,300,220
106,303,110
107,304,110
108,306,495
109,307,110
110,309,17
111,312,21
112,313,110
113,315,162
114,316,284
115,318,47
116,320,110
117,321,230
118,323,162
119,328,331
120,334,27
121,335,280
122,338,110
123,341,20
124,343,424
125,344,569
126,350,55
127,351,211
128,356,42
129,357,248
130,360,248
131,361,248
132,362,209
133,363,17
134,364,48
135,366,220
136,369,647
137,372,66
138,375,7
139,376,482
140,379,284
141,383,47
142,384,232
143,391,345
144,394,432
145,395,48
146,400,456
147,401,42
148,412,296
149,413,456
150,414,580
151,415,648
152,416,713
153,418,17
154,419,66
155,420,478
156,432,686
157,433,49
158,435,257
159,437,655
160,438,412
161,439,110
162,441,17
163,445,48
164,446,533
165,447,110
166,448,490
167,449,480
168,453,98
169,454,545
170,455,110
171,456,95
172,463,105
173,474,259
174,475,110
175,481,533
176,483,110
177,484,220
178,485,321
179,488,162
180,489,41
181,492,220
182,493,232
183,495,42
184,497,436
185,498,490
186,499,164
187,501,110
188,506,106
189,515,110
190,517,220
191,518,490
192,519,631
193,521,10
194,533,48
195,534,732
196,537,20
197,538,566
198,540,500
199,542,213
200,543,248
201,546,110
202,548,519
203,549,631
204,553,267
205,557,490
206,567,248
207,568,110
208,570,500
209,572,250
210,573,732
211,574,533
212,575,456
213,579,490
214,585,259
215,587,20
216,590,110
217,591,510
218,592,341
219,593,659
220,594,98
221,595,367
222,596,48
223,598,110
224,600,48
225,602,292
226,603,200
227,605,48
228,606,10
229,607,292
230,608,525
231,610,552
232,611,162
233,615,447
234,616,250
235,618,718
236,620,490
237,621,110
238,622,66
239,623,196
240,624,110
241,625,226
242,626,345
243,627,17
244,628,629
245,631,567
246,633,110
247,634,631
248,635,98
249,637,110
250,638,345
251,639,105
252,650,14
253,653,659
254,655,443
255,657,10
256,659,314
257,660,32
258,662,321
259,664,629
260,666,340
261,668,166
262,670,213
263,672,500
264,674,390
265,682,525
266,683,414
267,685,500
268,687,220
269,690,25
270,692,110
271,703,51
272,706,11
273,707,341
274,709,23
275,710,345
276,713,110
277,715,162
278,716,110
279,721,55
280,722,647
281,725,17
282,727,490
283,733,345
284,735,110
285,736,202
286,739,345
287,742,230
288,750,41
289,752,629
290,753,490
291,754,692
292,756,713
293,758,191
294,760,500
295,762,51
296,765,340
297,766,238
298,767,599
299,768,271
300,770,191
301,771,162
302,772,530
303,776,390
304,778,7
305,782,108
306,784,752
307,786,175
308,788,278
309,789,162
310,796,259
311,799,98
312,801,66
313,807,501
314,813,650
315,820,598
316,822,302
317,823,436
318,824,239
319,831,17
320,832,49
321,833,599
322,835,631
323,839,14
324,840,746
325,841,581
326,842,549
327,850,213
328,852,166
329,856,98
330,858,490
331,862,220
332,864,90
333,866,345
334,871,456
335,873,545
336,874,641
337,877,259
338,879,49
339,889,98
340,893,48
341,895,202
342,896,110
343,898,110
344,899,284
345,900,166
346,901,110
347,902,98
348,903,162
349,904,389
350,905,98
351,906,631
352,907,110
353,908,15
354,909,98
355,920,110
356,924,545
357,931,647
358,932,284
359,934,631
360,935,49
361,937,536
362,939,162
363,940,631
364,941,545
365,943,48
366,946,162
367,948,110
368,949,32
369,950,519
370,956,110
371,957,390
372,959,641
373,961,220
374,963,321
375,965,110
376,968,499
377,970,686
378,974,71
379,977,166
380,979,663
381,981,456
382,983,17
383,986,631
384,991,480
385,996,166
386,998,220
387,1001,66
388,1002,363
389,1003,20
390,1004,32
391,1005,110
392,1007,692
393,1009,284
394,1018,570
395,1026,631
396,1033,110
397,1040,302
398,1041,650
399,1043,42
400,1046,284
401,1047,32
402,1051,629
403,1053,110
404,1056,110
405,1060,483
406,1061,247
407,1062,213
408,1063,752
409,1064,664
410,1067,430
411,1072,430
412,1075,647
413,1076,110
414,1077,284
415,1078,213
416,1079,647
417,1081,110
418,1082,110
419,1083,692
420,1084,32
421,1085,716
422,1086,23
423,1088,284
424,1089,65
