character_name,character_sex,character_age,character_occupation,character_is_alive,species_id,country_id,appearance_id
Аамад,Мужской,16,Придворный чародей,False,8,22,1
Аарениус Кранц,Мужской,42,Учёный,True,8,33,2
Абакам,Мужской,52,Служащий банка,True,8,33,3
Аббат Фариа,Мужской,24,Аптекарь,True,8,24,4
Абданк,Мужской,67,Государственный деятель,True,8,29,5
Абелард из Хагги,Мужской,36,Чародей,False,8,2,6
Абеляр Ризе,Мужской,30,Артист,True,8,33,7
Абергард,Мужской,21,Разбойник,True,8,33,8
Абигайл,Женский,22,Ведьма,False,8,33,9
Абнер де Наваретт,Мужской,15,Аукционист,True,8,24,10
Абонда,Женский,19,Адептка Аретузы,True,8,33,11
Абрад,Мужской,49,Государственный деятель,True,8,33,12
Абрад Старый Дуб,Мужской,70,Король,True,8,33,13
Аваллак'х,Мужской,29,УчёныйЧародейЗнающий,True,11,33,14
Августа Вагнер,Женский,44,Чародейка,True,8,33,15
Августин Бочар,Мужской,39,Бочар,False,8,33,16
Авдегаст,Мужской,68,Пристав,True,8,33,17
Авен Вё-Бульон,Мужской,41,ЧародейТиромант,True,8,33,18
Аврора Хенсон,Женский,30,Чародейка,True,8,33,19
Агда,Женский,43,,False,8,21,20
Аглайиса,Женский,20,Целительница,True,8,33,21
Агловаль,Мужской,49,Государственный деятель,True,8,33,22
Агнес из Аэдирна,Женский,64,Королева,True,8,2,23
Агнесс из Гланвилля,Женский,18,Чародейка,True,8,33,24
Агнетта Скьольд,Женский,20,Игрок в гвинт,True,8,21,25
Агостон Казмер,Мужской,66,Партизан,True,7,33,26
Адалия,Женский,51,Королева Цинтры (ранее)Княжна Гаррамона (ранее),False,8,29,27
Адальберт из Марибора,Мужской,30,Государственный деятель,True,8,29,28
Адальберт из Нильфгаарда,Мужской,15,Чародей,False,8,8,29
Адам,Мужской,70,Поэт,False,8,29,30
Адам Назаирский,Мужской,55,Дворянин,True,8,33,31
Адам Пангратт,Мужской,35,Наемник,False,8,33,32
Адда Белая,Женский,58,ДворянкаКоролева Редании[1] (опционально),False,8,29,33
Адда из Темерии,Женский,67,Дворянка,False,8,29,34
Адда из Цидариса,Женский,26,Королева,True,8,32,35
Аддарио Бах,Мужской,52,Шахтёр,True,7,33,36
Аделия Марта,Женский,51,Государственный деятель,True,8,33,37
Адель,Женский,56,ДворянкаВоительница,True,8,24,38
Адель (дочь Фальки),Женский,41,,False,8,24,39
Адептка Абонда,Женский,38,Адептка Аретузы,True,8,33,40
Адмирал Ромпалли,Мужской,25,Флотоводец,True,8,33,41
Адон из Каррераса,Мужской,52,Ведьмак,False,8,29,42
Адрианна,Женский,63,Чародейка,True,8,33,43
Адриен де Руло,Мужской,18,БардГерольд,True,8,33,44
Адриен Московид,Мужской,58,Дворянин,True,8,24,45
Азар Явед,Мужской,41,ЧародейПреступникУчёный,False,8,7,46
Аидеен,Женский,42,Дворянка,True,8,10,47
Аидеен (эльфка),Женский,24,,True,11,33,48
Айден,Мужской,63,Ведьмак,False,8,33,49
Айлeaх Мор-Дху,Женский,54,Наемник,True,8,33,50
Айллиль аэп Кеаллах,Мужской,15,Военнослужащий,False,8,33,51
Айна Дермотт,Женский,36,Фаворитка императора,True,8,33,52
Акаретта,Женский,68,,True,8,33,53
Акерспаарк,Мужской,16,Государственный деятель,False,8,19,54
Акки,Мужской,47,,False,8,21,55
Акки II,Мужской,28,,True,8,21,56
Аксель,Мужской,36,Воин,True,8,21,57
Аксель (ведьмак),Мужской,38,Ведьмак,True,8,33,58
Аксель Трехглазый,Мужской,51,Друид,True,8,21,59
Аксель Эспарза,Мужской,48,Чародей,False,8,33,60
Алджернон Гвинкамп,Мужской,65,Чародей исследователь преподаватель,True,8,33,61
Алейд из Роггевена,Мужской,23,Ученик ведьмаков,False,8,24,62
Александэр,Мужской,44,ЧародейУчёный-эпидемиолог,False,8,33,63
Алексий фон Эверек,Мужской,48,Дворянин,True,8,24,64
Алина,Женский,16,Поэт,True,8,33,65
Алисия Тройденида,Женский,51,Дворянка,True,8,12,66
Алисса Хенсон,Женский,43,Чародейка (Двимвеандра),True,8,33,67
Алкид Фьерабрас,Мужской,52,Управляющий виноградником,True,8,33,68
Алоис Шталден,Мужской,24,Деятель органов безопасности,True,8,33,69
Алонсо Вилли,Мужской,57,Преступник,True,8,24,70
Алхимик (Крематорий),Мужской,57,Чародей (ранее)Аптекарь,True,8,33,71
Алхимик (Мануфактура),Мужской,50,УченыйТорговец,True,8,33,72
Альберт Вегельбуд,Мужской,42,Алхимик,True,8,24,73
Альберт Смулька,Мужской,18,Староста,True,8,11,74
