character_name,character_sex,character_age,character_occupation,character_is_alive,species_id,country_id,appearance_id
Аамад,Мужской,29,Придворный чародей,False,8,22,1
Аарениус Кранц,Мужской,68,Учёный,True,8,,2
Абакам,Мужской,70,Служащий банка,True,8,,3
Аббат Фариа,Мужской,48,Аптекарь,True,8,24,4
Абданк,Мужской,16,Государственный деятель,True,8,29,5
Абелард из Хагги,Мужской,58,Чародей,False,8,2,6
Абеляр Ризе,Мужской,30,Артист,True,8,,7
Абергард,Мужской,37,Разбойник,True,8,,8
Абигайл,Женский,51,Ведьма,False,8,,9
Абнер де Наваретт,Мужской,16,Аукционист,True,8,24,10
Абонда,Женский,27,Адептка Аретузы,True,8,,11
Абрад,Мужской,66,Государственный деятель,True,8,,12
Абрад Старый Дуб,Мужской,59,Король,True,8,,13
Аваллак'х,Мужской,66,УчёныйЧародейЗнающий,True,11,,14
Августа Вагнер,Женский,56,Чародейка,True,8,,15
Августин Бочар,Мужской,42,Бочар,False,8,,16
Авдегаст,Мужской,48,Пристав,True,8,,17
Авен Вё-Бульон,Мужской,61,ЧародейТиромант,True,8,,18
Аврора Хенсон,Женский,53,Чародейка,True,8,,19
Агда,Женский,54,,False,8,21,20
Аглайиса,Женский,62,Целительница,True,8,,21
Агловаль,Мужской,30,Государственный деятель,True,8,,22
Агнес из Аэдирна,Женский,46,Королева,True,8,2,23
Агнесс из Гланвилля,Женский,41,Чародейка,True,8,,24
Агнетта Скьольд,Женский,65,Игрок в гвинт,True,8,21,25
Агостон Казмер,Мужской,19,Партизан,True,7,,26
Адалия,Женский,66,Королева Цинтры (ранее)Княжна Гаррамона (ранее),False,8,29,27
Адальберт из Марибора,Мужской,53,Государственный деятель,True,8,29,28
Адальберт из Нильфгаарда,Мужской,65,Чародей,False,8,8,29
Адам,Мужской,54,Поэт,False,8,29,30
Адам Назаирский,Мужской,69,Дворянин,True,8,,31
Адам Пангратт,Мужской,38,Наемник,False,8,,32
Адда Белая,Женский,18,ДворянкаКоролева Редании[1] (опционально),False,8,29,33
Адда из Темерии,Женский,69,Дворянка,False,8,29,34
Адда из Цидариса,Женский,58,Королева,True,8,32,35
Аддарио Бах,Мужской,40,Шахтёр,True,7,,36
Аделия Марта,Женский,66,Государственный деятель,True,8,,37
Адель,Женский,39,ДворянкаВоительница,True,8,24,38
Адель (дочь Фальки),Женский,52,,False,8,24,39
Адептка Абонда,Женский,28,Адептка Аретузы,True,8,,40
Адмирал Ромпалли,Мужской,63,Флотоводец,True,8,,41
Адон из Каррераса,Мужской,36,Ведьмак,False,8,29,42
Адрианна,Женский,64,Чародейка,True,8,,43
Адриен де Руло,Мужской,46,БардГерольд,True,8,,44
Адриен Московид,Мужской,38,Дворянин,True,8,24,45
Азар Явед,Мужской,54,ЧародейПреступникУчёный,False,8,7,46
Аидеен,Женский,55,Дворянка,True,8,10,47
Аидеен (эльфка),Женский,44,,True,11,,48
Айден,Мужской,25,Ведьмак,False,8,,49
Айлeaх Мор-Дху,Женский,40,Наемник,True,8,,50
Айллиль аэп Кеаллах,Мужской,16,Военнослужащий,False,8,,51
Айна Дермотт,Женский,47,Фаворитка императора,True,8,,52
Акаретта,Женский,58,,True,8,,53
Акерспаарк,Мужской,47,Государственный деятель,False,8,19,54
Акки,Мужской,26,,False,8,21,55
Акки II,Мужской,36,,True,8,21,56
Аксель,Мужской,69,Воин,True,8,21,57
Аксель (ведьмак),Мужской,18,Ведьмак,True,8,,58
Аксель Трехглазый,Мужской,38,Друид,True,8,21,59
Аксель Эспарза,Мужской,36,Чародей,False,8,,60
Алджернон Гвинкамп,Мужской,38,Чародей исследователь преподаватель,True,8,,61
Алейд из Роггевена,Мужской,31,Ученик ведьмаков,False,8,24,62
Александэр,Мужской,58,ЧародейУчёный-эпидемиолог,False,8,,63
Алексий фон Эверек,Мужской,50,Дворянин,True,8,24,64
Алина,Женский,43,Поэт,True,8,,65
Алисия Тройденида,Женский,32,Дворянка,True,8,12,66
Алисса Хенсон,Женский,57,Чародейка (Двимвеандра),True,8,,67
Алкид Фьерабрас,Мужской,38,Управляющий виноградником,True,8,,68
Алоис Шталден,Мужской,49,Деятель органов безопасности,True,8,,69
Алонсо Вилли,Мужской,62,Преступник,True,8,24,70
Алхимик (Крематорий),Мужской,64,Чародей (ранее)Аптекарь,True,8,,71
Алхимик (Мануфактура),Мужской,25,УченыйТорговец,True,8,,72
Альберт Вегельбуд,Мужской,41,Алхимик,True,8,24,73
Альберт Смулька,Мужской,20,Староста,True,8,11,74
Альбин Харт,Мужской,59,Мародер,False,8,,75
Альбина Тоттелькампф,Женский,52,Преподаватель,True,8,,76
Альбрехт Хокенхол,Мужской,42,Военнослужащий,True,8,24,77
Альбрых,Мужской,19,ЧародейВоеннослужащий,False,8,8,78
Альвин,Мужской,38,,True,8,29,79
Альвина,Женский,69,,True,8,,80
Альдерт Геэрт,Мужской,31,ПреподавательИсторик,False,8,,81
Альдона Ламх,Женский,35,,True,8,24,82
Альзур,Мужской,56,ЧародейИсследователь,False,8,29,83
Альрик де Самп,Мужской,25,,True,8,,84
Альфред Набель,Мужской,65,Ученый-изобретатель,True,5,,85
Альфред Панкрац,Мужской,35,,True,8,24,86
Аля,Женский,37,Дворянка,True,8,19,87
Амавет,Мужской,65,Дворянин,False,8,29,88
Амадей Риттерхоф,Мужской,40,Чародей,True,8,,89
Амадис де Трастамара,Мужской,42,Главный ловчий,True,8,,90
Амарантовый,Мужской,23,Боец на арене,True,8,,91
Амброзио,Мужской,48,Купец,True,8,,92
Амзвари,Мужской,22,Кузнец,True,8,29,93
Амос вар Ыпсис,Мужской,22,Чародей,False,8,8,94
Амринн,Женский,69,Проститутка,True,11,,95
Анабелль,Женский,22,,False,8,29,96
Анабель Радфинд,Женский,15,ЧародейкаПисательница,True,8,,97
Анаис Ла Валетт,Женский,17,,True,8,29,98
Ангулема,Женский,48,Разбойница,False,8,33,99
Ангус Бри–Кри,Мужской,61,ПартизанВоеннослужащий,False,11,,100
Анди Бибервельт,Мужской,28,Ездовой,True,9,,101
Андреа Равикс,Мужской,31,Писатель,True,8,,102
Андреас Блюме,Мужской,39,Сенешаль,True,8,29,103
Андрес Верный,Мужской,19,ГоловорезСолдат,True,8,24,104
Анешка,Женский,38,Травница,True,8,,105
Анзельм Обри,Мужской,39,РыцарьДворянин,False,8,29,106
Анисса,Женский,15,Чародейка,False,8,,107
Анна (Свадьба),Женский,68,,True,8,,108
Анна Генриетта,Женский,68,Государственный деятель,False,8,,109
Анна Заик,Женский,21,,False,8,29,110
Анна Йей-Пинькович,Женский,55,ДворянкаАрхитектор,True,8,24,111
Анна Камэни,Женский,64,Дворянка,True,8,29,112
Анна Стенгер,Женский,15,,False,8,29,113
Анна Тройденида,Женский,54,Дворянка,True,8,12,114
Аннар,Мужской,35,Воин,False,8,22,115
Анри де Тулуз ван Кот,Мужской,16,Художник,True,8,,116
Ансельм,Мужской,47,Купец,True,8,,117
Ансельм (Рыцарь),Мужской,70,РыцарьНаркоторговец,False,8,24,118
Анси,Мужской,65,ДворянинРыцарь,True,8,15,119
Антарес Саррасин,Мужской,69,ДворянинВинодел,True,8,,120
Антек,Мужской,67,,True,8,29,121
Антея Деррис,Женский,26,Торговый посредник,False,8,,122
Антиквар,Мужской,20,ТорговецАнтиквар,True,8,,123
Антон Бородатый,Мужской,61,Барон Крайо,False,8,17,124
Антон де Крайо,Мужской,45,Дворянин,False,8,17,125
Антоний Пфайль,Мужской,57,РыцарьБандит,False,8,,126
Антуан Мойр,Мужской,54,КорчмарьВоеннослужащий (ранее),True,8,8,127
Антуан Страгген,Мужской,26,ПреступникЛидер банды,False,8,,128
Антуанетта,Женский,43,Дворянка,True,8,,129
Аплегатт,Мужской,63,Королевский гонец,False,8,,130
Април,Женский,56,Чародейка,True,8,,131
Арамиль,Мужской,19,,True,11,,132
Арве Гребец,Мужской,31,Наездник,True,8,21,133
Аргентина,Женский,38,Дворянка,True,8,19,134
Аргойн,Мужской,24,Игрок в гвинт,True,7,,135
Ардаль аэп Даги,Мужской,53,Военный и государственный деятель,False,8,8,136
Арек,Мужской,23,,False,8,29,137
Ариан Ла Валетт,Мужской,52,ДворянинРыцарь,False,8,29,138
Аридея,Женский,21,Княжная,True,8,,139
Арике из Хиндарсфьялля,Женский,17,,True,8,21,140
Аристид Вермуллен,Мужской,43,Государственный деятельДворянин,True,8,12,141
Аристократка,Женский,21,,True,8,,142
Аристотель Бобек,Мужской,48,Философ,True,8,,143
Арнагад,Мужской,30,Ведьмак,True,8,,144
Арнвальд,Мужской,39,Сенешаль,False,8,21,145
Арнйольф Отцеубийца,Мужской,37,Воин-ренегат,False,8,21,146
